algo,n,scen_name,mean_times,ci95_times,mean_expanded,ci95_expanded
jps,512,maze512-2-4.map,0.23459104150242638,0.006154726333043072,26599.5,195.01999999999998
astar,512,maze512-2-5.map,0.5333333335001953,0.06944206597108858,187902.0,21801.079999999998
jps,512,maze512-2-5.map,0.22437083349723252,0.02194473133960855,25756.5,2868.4599999999996
astar,512,maze512-32-3.map,1.0071096044957812,0.16802316481698654,287526.5,32546.78
jps,512,maze512-32-3.map,0.20650389600268682,0.03536726116508361,150.5,0.98
astar,512,maze512-32-2.map,1.1082282085008046,0.05572819098641048,310017.0,20191.92
jps,512,maze512-32-2.map,0.19814277050318196,0.011889809819986111,154.5,28.419999999999995
astar,512,maze512-1-0.map,0.2512522495017038,0.03149197365535656,117091.0,14125.72
jps,512,maze512-1-0.map,0.2009378545008076,0.021030922497302523,32400.5,3938.62
astar,512,maze512-1-1.map,0.22697966700070538,0.002744000001985114,106038.0,985.8799999999999
jps,512,maze512-1-1.map,0.17987589599579223,0.0002801584852568339,29110.5,283.21999999999997
astar,512,maze512-16-4.map,1.0435059164992708,0.04787251097950501,313322.5,11951.1
jps,512,maze512-16-4.map,0.19295683300151723,0.0009334500058321282,581.0,19.6
astar,512,maze512-16-5.map,1.017855583500932,0.01930575597216375,301053.5,2352.9799999999996
jps,512,maze512-16-5.map,0.1910917499990319,0.01770566001156112,595.5,26.46
